filename,sha256,width,height,format,query,title,source,image_url,page_url
weed_pen_00004.jpg,04b117899178daf54c540b68c3372f6bf7e7dbea8bf9e0648fe0abe07ad780b8,1200,800,jpeg,weed pen,Best Vape Pens for Live Rosin: Top Picks and Expert Guide,d8superstore.com,https://d8superstore.com/wp-content/uploads/2023/09/Vape-Pens-for-Live-Rosin.jpg,https://d8superstore.com/best-vape-pens-for-live-rosin
weed_pen_00005.jpg,9306b09f3a2b9798cec2a1430f8e02f0032bc7840049f4d79711ffe601aabd69,1921,1201,jpeg,weed pen,10 Brands Making Awesome Disposable Cannabis Vape Pens | Leafly,Leafly,https://d3atagt0rnqk7k.cloudfront.net/wp-content/uploads/2017/09/19133321/best-disposable-vape-pen.jpg,https://www.leafly.com/news/strains-products/best-disposable-marijuana-vaporizer-pens
weed_pen_00006.jpg,0a2a060febf6e2335dfcb03571b8aee33c8ee63564f527efa5936e80e2006eaa,1024,1024,jpeg,weed pen,Buy THC Vape Pens & Weed Pens Canada | Online Dispensary Canada | Eden ...,edengoods.net,https://edengoods.net/wp-content/uploads/2024/02/cbd-vape-pen-with-battery-1024x1024.jpg,https://edengoods.net/shop/vape-pens/
weed_pen_00007.jpg,80ccb3c8826830122136f1cb3aa6bfa63d257b54d9f803c864fc246ca5a4ccc6,1024,1024,jpeg,weed pen,10 Brands Making Awesome Disposable Cannabis Vape Pens | Leafly,Leafly,https://leafly-cms-production.imgix.net/wp-content/uploads/2017/09/19132047/eureka-disposable-vape-pen-1024x1024.jpg?auto=compress,https://www.leafly.com/news/strains-products/best-disposable-marijuana-vaporizer-pens
weed_pen_00008.webp,8d1f465839872feb8de5837d5e59df861197ea544078997c29f74d9cb9533197,1024,788,webp,weed pen,Can I Bring a Weed Pen on a Plane? – HUMANSUCKS,humansucks.com,https://cdn.shopify.com/s/files/1/0421/8372/1119/files/What-Is-a-Weed-Pen_1024x1024.jpg?v=1735894016,https://humansucks.com/blogs/news/can-i-bring-a-weed-pen-on-a-plane
weed_pen_00009.jpg,4cab4b9a12397457ebe09814ca4b1dd1c456fe1f9468b52cb6c1dbda43793822,2560,1708,jpeg,weed pen,How Long Does It Take To Charge A Weed Pen | Detroit Chinatown,detroitchinatown.org,https://cannabismo.org/wp-content/uploads/2022/10/marijuana-vape-pen-opener-3da560d1-d24f-4ec9-948b-c007503d46c4-scaled.jpg,https://detroitchinatown.org/how-long-does-it-take-to-charge-a-weed-pen/
weed_pen_00010.jpg,685171b2dbef1068e6d0e838ef9156aa1a30d173a256f1710f9fde159ac0e00b,2560,1707,jpeg,weed pen,Where to Buy THC-O Disposable Vape Pens Near Me – CBD Supply Maryland,cbdsupplymaryland.com,https://www.cbdsupplymaryland.com/wp-content/uploads/2022/09/Where-To-Buy-THC-O-Disposable-Vape-Pens-Near-Me-scaled.jpg,https://cbdsupplymaryland.com/2022/09/where-to-buy-thc-o-disposable-vape-pens-near-me/
weed_pen_00011.webp,53861083056e9a116b725999301f5d518c4b79eff114f1a19a5436e82e7ce69e,1024,1024,webp,weed pen,Weed Vape Pen Collection at HoneyStick,vapehoneystick.com,http://www.vapehoneystick.com/cdn/shop/files/honeystick-nano-dab-pen-6-colors_1024x1024.jpg?v=1684343925,https://www.vapehoneystick.com/pages/weed-vape-pen
weed_pen_00012.jpg,1ad5c753a4ca3ac4c3c6375555c6d63fa344b3b42ebde04cba71ae541dcee5a4,1666,3898,jpeg,weed pen,Disposable weed vape cartridges. A revelation!,Mixed Martial Arts,https://mma-user-upload.mixedmartialarts.com/2019-04/cropped7366271664138325174.jpg,https://www.mixedmartialarts.com/forums/OtherGround/Disposable-weed-vape-cartridges--A-revelation:2769533
weed_pen_00013.webp,429d718d15be9fd4f15f9eb007bd4243e69591d2a9db28c59b361a2a34998258,2400,1600,webp,weed pen,"Weed Pens: THC Vape Pen Distillate Vs Live Resin Oil, CBD - Rolling Stone",www.rollingstone.com > Mary Jane Gibson,https://www.rollingstone.com/wp-content/uploads/2019/08/vape-pens-marijuana.jpg,https://www.rollingstone.com/culture/culture-news/best-weed-vape-pen-reviews-870512/
weed_pen_00014.jpg,2c07fb346b3c4089d6f37c9d143aec3787cf0854f34e7f0f55c62ab775d2c172,1200,750,jpeg,weed pen,Marijuana Beginning: Getting Cannabis Brought to Your Home | Honex,honex.rs,https://litvapepens.co/wp-content/uploads/2021/06/unclog-vape-pen2-scaled.jpg,https://honex.rs/marijuana-beginning-getting-cannabis-brought-to-your-home/
weed_pen_00015.jpg,c49a39567346f0753438c8f04d1eed3f8f5d2766daf3c912953e9d25e38cb5d6,2000,1327,jpeg,weed pen,THC Vape Pens: High Quality Cannabis Distillate | Pyramid Pens,pyramidpens.com,https://pyramidpens.com/wp-content/uploads/2021/07/8_pax-scaled-e1626188808892.jpg,https://pyramidpens.com/?mpfy-pin=4825
weed_pen_00016.jpg,92afcc2d8cc153ebbb0b06f41d5a18f863b8a3ab250e5748705e4da3f8b13ad6,1024,1024,avif,weed pen,10 Brands Making Awesome Disposable Cannabis Vape Pens | Leafly,Leafly,https://leafly-cms-production.imgix.net/wp-content/uploads/2017/09/19132035/rel-vape-disposable-pen-1024x1024.jpg?auto=format,https://www.leafly.com/news/strains-products/best-disposable-marijuana-vaporizer-pens
