epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11603,2.12826,8.4771,0.02509,0.00333,1,0.11056,0.04027,1.19406,8.22052,0.03971,0,0,0
2,7.20406,2.0095,6.6604,0.02055,0.00333,1,0.11056,0.04027,1.19406,8.22052,0.03971,0.000644667,0.000644667,0.000644667
3,10.5902,1.53871,6.70765,0.01546,0.00333,1,0.11056,0.04027,1.19406,8.22052,0.03971,0.00124533,0.00124533,0.00124533
4,12.8689,1.72478,6.61249,0.01935,0.00333,1,0.16583,0.08292,1.4893,7.97047,0.05177,0.001802,0.001802,0.001802
5,15.0949,1.40267,6.81234,0.01538,0.00333,1,0.16583,0.08292,1.4893,7.97047,0.05177,0.001736,0.001736,0.001736
6,17.0561,1.49198,5.77308,0.01369,0.00333,1,0.16583,0.08292,1.4893,7.97047,0.05177,0.00167,0.00167,0.00167
7,18.803,2.17855,7.02886,0.02658,0.00333,1,0.995,0.50165,0.78412,8.23088,0.02243,0.001604,0.001604,0.001604
8,20.5549,1.99074,10.6591,0.02419,0.00333,1,0.995,0.50165,0.78412,8.23088,0.02243,0.001538,0.001538,0.001538
9,22.3032,1.313,9.2906,0.01673,0.00333,1,0.995,0.50165,0.78412,8.23088,0.02243,0.001472,0.001472,0.001472
10,23.9798,1.57423,7.74368,0.01561,0.00333,1,0.995,0.796,0.92239,8.11365,0.02762,0.001406,0.001406,0.001406
11,25.6404,1.28512,6.50668,0.01685,0.00333,1,0.995,0.796,0.92239,8.11365,0.02762,0.00134,0.00134,0.00134
12,27.306,1.56977,6.18335,0.01963,0.00333,1,0.995,0.796,0.92239,8.11365,0.02762,0.001274,0.001274,0.001274
13,28.9676,1.81626,7.48065,0.02394,0.00333,1,0.995,0.41221,0.95827,8.05511,0.02749,0.001208,0.001208,0.001208
14,30.5847,1.75304,8.53179,0.02463,0.00333,1,0.995,0.41221,0.95827,8.05511,0.02749,0.001142,0.001142,0.001142
15,32.184,1.496,5.44009,0.01772,0.00333,1,0.995,0.41221,0.95827,8.05511,0.02749,0.001076,0.001076,0.001076
16,33.8497,1.60477,5.7317,0.01839,0.00333,1,0.995,0.33167,0.70403,8.1321,0.01993,0.00101,0.00101,0.00101
17,35.5986,1.36306,4.74114,0.01295,0.00333,1,0.995,0.33167,0.70403,8.1321,0.01993,0.000944,0.000944,0.000944
18,37.2311,1.37798,7.03601,0.0192,0.00333,1,0.995,0.33167,0.70403,8.1321,0.01993,0.000878,0.000878,0.000878
19,39.017,1.44269,7.45823,0.02277,0.00333,1,0.995,0.4975,0.41318,8.18207,0.01126,0.000812,0.000812,0.000812
20,40.6999,1.62964,6.13722,0.02163,0.00333,1,0.995,0.4975,0.41318,8.18207,0.01126,0.000746,0.000746,0.000746
21,42.2908,1.40007,9.87126,0.02688,0.00333,1,0.995,0.4975,0.41318,8.18207,0.01126,0.00068,0.00068,0.00068
22,43.9225,2.00182,10.8572,0.0347,0.00333,1,0.995,0.54725,0.67326,8.04953,0.01909,0.000614,0.000614,0.000614
23,45.8651,1.66774,9.90335,0.03164,0.00333,1,0.995,0.54725,0.67326,8.04953,0.01909,0.000548,0.000548,0.000548
24,47.5056,1.7799,10.1313,0.02601,0.00333,1,0.995,0.54725,0.67326,8.04953,0.01909,0.000482,0.000482,0.000482
25,49.2362,1.3332,9.65553,0.02267,0.00333,1,0.995,0.4975,0.94464,7.91896,0.02794,0.000416,0.000416,0.000416
26,50.8891,1.60531,10.0113,0.0226,0.00333,1,0.995,0.4975,0.94464,7.91896,0.02794,0.00035,0.00035,0.00035
27,52.5552,1.77667,9.91507,0.02601,0.00333,1,0.995,0.4975,0.94464,7.91896,0.02794,0.000284,0.000284,0.000284
28,54.3374,1.51079,10.025,0.02136,0.00333,1,0.995,0.63017,0.98092,7.9082,0.02947,0.000218,0.000218,0.000218
29,56.088,1.72022,10.0146,0.02923,0.00333,1,0.995,0.63017,0.98092,7.9082,0.02947,0.000152,0.000152,0.000152
30,57.8454,1.4114,9.74031,0.02547,0.00333,1,0.995,0.63017,0.98092,7.9082,0.02947,8.6e-05,8.6e-05,8.6e-05
